id,name,common,layer,old_aud_rows,new_aud_rows,old_bird_score_v0_3,new_bird_score_audubon_fixed,claims,guildClaims,speciesClaims,ecological,balanced,note
CAND5003,Ziziphus obtusifolia,,Outside-master review layer,63,15,35.7,18.5,18,18,0,6.0,13.8,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0176,Aloysia gratissima,"Whitebrush, Bee-brush, White-brush, Common Bee-brush, Beebrush, Privet Lippia",Target-zone master list,60,15,34.7,18.5,21,16,5,16.8,35.2,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0046,Asclepias viridis,"Green Milkweed, Spider Milkweed",Target-zone master list,60,15,34.2,16.2,79,15,64,37.1,55.4,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0294,Clematis drummondii,Old Man's Beard,Target-zone master list,60,15,34.7,18.5,59,16,43,33.5,53.5,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0085,Gaillardia pulchella,"Indian Blanket, Firewheel, Girasol Rojo",Target-zone master list,60,15,34.2,16.2,104,17,87,41.8,61.2,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0099,Ipomopsis rubra,"Standing Cypress, Texas Plume, Red Texas Star, Red Gilia",Target-zone master list,60,15,34.2,18.5,20,16,4,14.9,33.5,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0193,Lantana urticoides,"Texas Lantana, Calico Bush",Target-zone master list,60,15,34.2,16.2,107,16,91,39.9,58.7,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
CAND2525,Liatris punctata,,Outside-master review layer,60,15,34.2,16.2,21,15,6,10.6,21.2,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0140,Salvia coccinea,"Scarlet Sage, Tropical Sage, Blood Sage, Red Sage, Indian Fire",Target-zone master list,60,15,34.2,18.5,94,18,76,40.7,59.5,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0208,Tecoma stans,Yellow Bells,Target-zone master list,60,15,34.2,18.5,37,19,18,28.8,47.0,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0139,Salvia azurea,"Pitcher Sage, Blue Sage",Target-zone master list,40,15,32.1,16.2,67,16,51,35.2,55.7,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
